"Label (Grouping)","Arizona!!Number!!Estimate","Arizona!!Number!!Margin of Error","Arizona!!Percent Distribution!!Estimate","Arizona!!Percent Distribution!!Margin of Error","Arizona!!Median income (dollars)!!Estimate","Arizona!!Median income (dollars)!!Margin of Error","Apache County, Arizona!!Number!!Estimate","Apache County, Arizona!!Number!!Margin of Error","Apache County, Arizona!!Percent Distribution!!Estimate","Apache County, Arizona!!Percent Distribution!!Margin of Error","Apache County, Arizona!!Median income (dollars)!!Estimate","Apache County, Arizona!!Median income (dollars)!!Margin of Error","Cochise County, Arizona!!Number!!Estimate","Cochise County, Arizona!!Number!!Margin of Error","Cochise County, Arizona!!Percent Distribution!!Estimate","Cochise County, Arizona!!Percent Distribution!!Margin of Error","Cochise County, Arizona!!Median income (dollars)!!Estimate","Cochise County, Arizona!!Median income (dollars)!!Margin of Error","Coconino County, Arizona!!Number!!Estimate","Coconino County, Arizona!!Number!!Margin of Error","Coconino County, Arizona!!Percent Distribution!!Estimate","Coconino County, Arizona!!Percent Distribution!!Margin of Error","Coconino County, Arizona!!Median income (dollars)!!Estimate","Coconino County, Arizona!!Median income (dollars)!!Margin of Error","Gila County, Arizona!!Number!!Estimate","Gila County, Arizona!!Number!!Margin of Error","Gila County, Arizona!!Percent Distribution!!Estimate","Gila County, Arizona!!Percent Distribution!!Margin of Error","Gila County, Arizona!!Median income (dollars)!!Estimate","Gila County, Arizona!!Median income (dollars)!!Margin of Error","Graham County, Arizona!!Number!!Estimate","Graham County, Arizona!!Number!!Margin of Error","Graham County, Arizona!!Percent Distribution!!Estimate","Graham County, Arizona!!Percent Distribution!!Margin of Error","Graham County, Arizona!!Median income (dollars)!!Estimate","Graham County, Arizona!!Median income (dollars)!!Margin of Error","Greenlee County, Arizona!!Number!!Estimate","Greenlee County, Arizona!!Number!!Margin of Error","Greenlee County, Arizona!!Percent Distribution!!Estimate","Greenlee County, Arizona!!Percent Distribution!!Margin of Error","Greenlee County, Arizona!!Median income (dollars)!!Estimate","Greenlee County, Arizona!!Median income (dollars)!!Margin of Error","La Paz County, Arizona!!Number!!Estimate","La Paz County, Arizona!!Number!!Margin of Error","La Paz County, Arizona!!Percent Distribution!!Estimate","La Paz County, Arizona!!Percent Distribution!!Margin of Error","La Paz County, Arizona!!Median income (dollars)!!Estimate","La Paz County, Arizona!!Median income (dollars)!!Margin of Error","Maricopa County, Arizona!!Number!!Estimate","Maricopa County, Arizona!!Number!!Margin of Error","Maricopa County, Arizona!!Percent Distribution!!Estimate","Maricopa County, Arizona!!Percent Distribution!!Margin of Error","Maricopa County, Arizona!!Median income (dollars)!!Estimate","Maricopa County, Arizona!!Median income (dollars)!!Margin of Error","Mohave County, Arizona!!Number!!Estimate","Mohave County, Arizona!!Number!!Margin of Error","Mohave County, Arizona!!Percent Distribution!!Estimate","Mohave County, Arizona!!Percent Distribution!!Margin of Error","Mohave County, Arizona!!Median income (dollars)!!Estimate","Mohave County, Arizona!!Median income (dollars)!!Margin of Error","Navajo County, Arizona!!Number!!Estimate","Navajo County, Arizona!!Number!!Margin of Error","Navajo County, Arizona!!Percent Distribution!!Estimate","Navajo County, Arizona!!Percent Distribution!!Margin of Error","Navajo County, Arizona!!Median income (dollars)!!Estimate","Navajo County, Arizona!!Median income (dollars)!!Margin of Error","Pima County, Arizona!!Number!!Estimate","Pima County, Arizona!!Number!!Margin of Error","Pima County, Arizona!!Percent Distribution!!Estimate","Pima County, Arizona!!Percent Distribution!!Margin of Error","Pima County, Arizona!!Median income (dollars)!!Estimate","Pima County, Arizona!!Median income (dollars)!!Margin of Error","Pinal County, Arizona!!Number!!Estimate","Pinal County, Arizona!!Number!!Margin of Error","Pinal County, Arizona!!Percent Distribution!!Estimate","Pinal County, Arizona!!Percent Distribution!!Margin of Error","Pinal County, Arizona!!Median income (dollars)!!Estimate","Pinal County, Arizona!!Median income (dollars)!!Margin of Error","Santa Cruz County, Arizona!!Number!!Estimate","Santa Cruz County, Arizona!!Number!!Margin of Error","Santa Cruz County, Arizona!!Percent Distribution!!Estimate","Santa Cruz County, Arizona!!Percent Distribution!!Margin of Error","Santa Cruz County, Arizona!!Median income (dollars)!!Estimate","Santa Cruz County, Arizona!!Median income (dollars)!!Margin of Error","Yavapai County, Arizona!!Number!!Estimate","Yavapai County, Arizona!!Number!!Margin of Error","Yavapai County, Arizona!!Percent Distribution!!Estimate","Yavapai County, Arizona!!Percent Distribution!!Margin of Error","Yavapai County, Arizona!!Median income (dollars)!!Estimate","Yavapai County, Arizona!!Median income (dollars)!!Margin of Error","Yuma County, Arizona!!Number!!Estimate","Yuma County, Arizona!!Number!!Margin of Error","Yuma County, Arizona!!Percent Distribution!!Estimate","Yuma County, Arizona!!Percent Distribution!!Margin of Error","Yuma County, Arizona!!Median income (dollars)!!Estimate","Yuma County, Arizona!!Median income (dollars)!!Margin of Error"
"            With own children under 18 years","166,321","±2,977","10.1%","±0.2","28,683","±818","1,669","±168","12.1%","±1.2","20,893","±2,999","3,159","±376","9.8%","±1.1","20,584","±2,451","2,455","±385","8.4%","±1.3","31,868","±4,474","1,225","±246","8.9%","±1.8","18,807","±3,554","887","±185","11.7%","±2.3","20,910","±3,385","163","±77","6.9%","±3.1","35,284","±34,121","417","±117","7.9%","±2.0","15,661","±1,467","102,789","±2,234","10.3%","±0.2","31,146","±713","4,350","±485","8.0%","±0.9","28,750","±2,499","2,939","±287","12.3%","±1.1","15,858","±1,607","28,031","±1,058","11.4%","±0.4","26,708","±1,213","7,842","±799","8.2%","±0.8","27,305","±3,157","1,434","±281","12.3%","±2.4","25,640","±5,576","3,537","±438","5.8%","±0.7","27,743","±4,179","5,424","±480","10.0%","±0.8","18,481","±1,614"
"        Male householder, no wife present","138,254","±2,900","8.4%","±0.2","48,133","±994","1,493","±153","10.9%","±1.1","26,105","±3,626","2,289","±398","7.1%","±1.2","37,244","±4,752","2,587","±412","8.8%","±1.3","51,362","±5,464","1,130","±210","8.2%","±1.5","36,000","±7,949","536","±141","7.0%","±1.8","46,184","±17,910","369","±113","15.5%","±4.2","48,508","±16,086","434","±128","8.2%","±2.4","37,759","±10,868","86,353","±2,290","8.7%","±0.2","51,815","±1,060","4,381","±646","8.1%","±1.1","34,827","±3,595","1,926","±201","8.1%","±0.8","35,476","±5,345","20,808","±1,059","8.4%","±0.4","43,143","±1,948","7,273","±641","7.6%","±0.7","51,947","±2,256","1,081","±242","9.3%","±2.1","30,404","±3,709","3,428","±485","5.6%","±0.8","45,487","±4,014","4,166","±511","7.7%","±0.9","38,978","±7,044"
"            With own children under 18 years","67,328","±2,044","4.1%","±0.1","41,296","±932","554","±112","4.0%","±0.8","25,217","±4,759","1,021","±240","3.2%","±0.7","29,867","±8,688","1,077","±236","3.7%","±0.8","54,406","±16,243","519","±143","3.8%","±1.0","33,917","±11,167","268","±102","3.5%","±1.3","37,105","±30,856","189","±73","7.9%","±2.9","61,433","±2,384","217","±84","4.1%","±1.5","43,304","±12,054","43,341","±1,659","4.3%","±0.2","43,031","±1,738","2,194","±349","4.1%","±0.6","31,895","±1,969","720","±129","3.0%","±0.5","31,176","±6,766","9,471","±800","3.8%","±0.3","40,336","±2,124","3,559","±459","3.7%","±0.5","50,538","±4,329","542","±223","4.7%","±1.9","24,306","±10,598","1,530","±329","2.5%","±0.5","37,056","±6,059","2,126","±395","3.9%","±0.7","31,484","±1,367"
"FAMILY INCOME BY FAMILY SIZE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2-person families","794,770","±4,660","48.2%","±0.2","63,111","±392","5,967","±291","43.4%","±1.8","42,237","±3,355","16,849","±670","52.1%","±1.5","58,707","±2,532","14,395","±711","49.2%","±1.8","70,379","±4,064","7,915","±471","57.7%","±2.6","50,005","±3,002","2,967","±236","39.0%","±2.4","54,904","±4,586","1,023","±146","43.0%","±5.0","59,554","±11,116","3,638","±368","68.6%","±3.5","42,500","±7,524","454,383","±3,899","45.6%","±0.3","68,143","±623","34,082","±997","63.0%","±1.3","49,551","±1,695","11,196","±535","46.8%","±1.7","48,814","±2,468","125,748","±1,707","50.9%","±0.6","62,694","±904","49,228","±1,295","51.4%","±1.1","59,642","±2,049","4,604","±354","39.6%","±2.6","44,580","±5,630","39,175","±1,117","64.5%","±1.3","58,422","±2,059","23,600","±841","43.4%","±1.1","45,097","±2,304"
"    3-person families","327,562","±3,557","19.9%","±0.2","67,459","±912","2,702","±237","19.6%","±1.7","40,548","±4,797","6,535","±507","20.2%","±1.4","54,819","±5,880","5,644","±479","19.3%","±1.6","69,583","±8,578","2,543","±300","18.5%","±2.1","48,355","±3,701","1,547","±195","20.3%","±2.4","62,683","±6,077","548","±136","23.0%","±5.3","66,000","±12,786","723","±169","13.6%","±2.9","46,710","±3,571","203,908","±3,090","20.5%","±0.3","74,609","±1,141","9,467","±689","17.5%","±1.2","55,596","±4,089","4,424","±363","18.5%","±1.5","42,882","±5,851","51,326","±1,662","20.8%","±0.6","60,680","±1,762","15,826","±851","16.5%","±0.9","65,061","±2,263","2,529","±362","21.8%","±3.1","37,093","±10,971","9,260","±768","15.3%","±1.2","59,980","±3,773","10,580","±692","19.5%","±1.2","46,277","±5,023"
"    4-person families","275,977","±3,558","16.7%","±0.2","79,283","±1,217","1,927","±209","14.0%","±1.4","37,542","±5,678","5,385","±568","16.7%","±1.7","62,397","±5,177","4,645","±396","15.9%","±1.3","85,109","±6,948","1,527","±235","11.1%","±1.7","47,434","±12,871","1,260","±177","16.6%","±2.3","70,591","±8,202","440","±93","18.5%","±4.1","67,935","±10,675","407","±91","7.7%","±1.7","65,288","±17,216","178,493","±2,676","17.9%","±0.2","87,035","±1,682","5,569","±519","10.3%","±0.9","61,198","±4,736","3,441","±300","14.4%","±1.2","50,531","±6,502","39,515","±1,160","16.0%","±0.5","71,450","±2,354","14,269","±938","14.9%","±0.9","67,562","±3,539","2,405","±313","20.7%","±2.7","51,559","±5,804","6,778","±679","11.2%","±1.1","67,074","±8,234","9,916","±734","18.2%","±1.3","55,061","±5,067"
"    5-person families","145,018","±2,748","8.8%","±0.2","69,129","±1,524","1,414","±154","10.3%","±1.1","47,010","±5,756","2,061","±318","6.4%","±1.0","58,691","±4,476","2,666","±332","9.1%","±1.1","77,212","±7,810","917","±210","6.7%","±1.5","53,612","±3,257","927","±165","12.2%","±2.0","63,964","±13,015","251","±77","10.6%","±3.2","58,583","±34,655","330","±117","6.2%","±2.1","41,250","±31,336","92,341","±2,201","9.3%","±0.2","74,042","±1,576","2,886","±391","5.3%","±0.7","54,472","±8,962","2,144","±253","9.0%","±1.0","49,330","±10,085","18,995","±852","7.7%","±0.3","62,397","±2,762","8,831","±733","9.2%","±0.8","71,401","±5,800","1,413","±269","12.2%","±2.3","41,806","±10,981","3,553","±469","5.9%","±0.8","64,615","±4,389","6,289","±542","11.6%","±1.0","58,048","±4,753"
"    6-person families","62,047","±1,682","3.8%","±0.1","65,754","±2,399","849","±115","6.2%","±0.8","38,558","±13,576","1,133","±244","3.5%","±0.8","58,977","±9,001","912","±187","3.1%","±0.6","66,111","±13,588","421","±155","3.1%","±1.1","45,880","±22,303","436","±111","5.7%","±1.5","75,250","±21,749","67","±36","2.8%","±1.4","88,456","±27,066","100","±57","1.9%","±1.1","53,958","±38,450","39,882","±1,294","4.0%","±0.1","70,064","±2,452","1,198","±234","2.2%","±0.4","62,315","±7,261","1,324","±159","5.5%","±0.6","57,318","±5,133","7,032","±551","2.8%","±0.2","65,864","±5,852","4,358","±499","4.5%","±0.5","67,202","±4,979","439","±141","3.8%","±1.2","43,181","±2,596","1,240","±281","2.0%","±0.5","63,488","±9,951","2,656","±395","4.9%","±0.7","53,162","±7,255"
"    7-or-more person families","42,752","±1,153","2.6%","±0.1","71,620","±2,804","900","±119","6.5%","±0.8","56,071","±11,064","356","±113","1.1%","±0.4","52,105","±11,155","1,016","±160","3.5%","±0.5","61,765","±15,714","392","±100","2.9%","±0.7","43,056","±37,004","467","±105","6.1%","±1.4","73,464","±13,038","50","±45","2.1%","±1.9","-","**","105","±55","2.0%","±1.0","51,250","±29,700","27,338","±1,027","2.7%","±0.1","77,174","±3,225","905","±180","1.7%","±0.3","55,738","±10,970","1,388","±194","5.8%","±0.8","57,375","±12,721","4,245","±421","1.7%","±0.2","59,503","±6,660","3,335","±379","3.5%","±0.4","78,854","±12,284","236","±95","2.0%","±0.8","-","**","706","±175","1.2%","±0.3","100,526","±24,319","1,313","±293","2.4%","±0.5","59,349","±5,612"
"FAMILY INCOME BY NUMBER OF EARNERS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    No earners","313,692","±2,823","19.0%","±0.2","43,069","±511","4,512","±271","32.8%","±1.8","16,832","±1,381","7,666","±383","23.7%","±1.2","43,733","±4,046","4,144","±315","14.2%","±1.1","41,514","±6,041","4,332","±370","31.6%","±2.3","36,537","±3,317","1,328","±169","17.5%","±2.1","32,813","±9,165","373","±79","15.7%","±3.2","40,625","±14,410","2,227","±301","42.0%","±4.8","37,173","±10,853","154,041","±2,128","15.5%","±0.2","43,465","±673","19,367","±752","35.8%","±1.2","40,846","±1,371","6,874","±437","28.7%","±1.4","26,087","±2,810","49,465","±1,162","20.0%","±0.4","48,198","±1,295","26,184","±828","27.3%","±0.8","46,701","±1,911","2,022","±272","17.4%","±2.2","30,432","±7,258","18,907","±724","31.1%","±1.1","48,251","±2,646","12,250","±604","22.5%","±1.0","35,335","±2,287"
"    1 earner","562,455","±4,067","34.1%","±0.2","50,324","±407","5,461","±343","39.7%","±2.2","43,081","±3,354","12,632","±725","39.1%","±1.8","48,457","±2,482","9,137","±643","31.2%","±2.0","50,551","±3,289","4,967","±503","36.2%","±3.3","45,823","±2,893","2,730","±287","35.9%","±3.1","47,436","±3,577","1,113","±175","46.8%","±6.0","60,970","±9,624","1,573","±281","29.7%","±4.4","37,114","±6,978","338,578","±3,444","34.0%","±0.3","52,880","±509","16,980","±857","31.4%","±1.4","45,088","±2,497","8,526","±477","35.6%","±1.9","41,009","±2,592","85,403","±1,645","34.6%","±0.6","46,229","±1,162","31,716","±1,141","33.1%","±1.0","51,730","±1,684","5,315","±404","45.7%","±3.2","33,766","±2,431","20,277","±965","33.4%","±1.5","54,068","±2,122","18,047","±937","33.2%","±1.4","35,097","±1,733"
"    2 earners","609,936","±5,322","37.0%","±0.2","88,151","±587","3,113","±262","22.6%","±1.7","74,602","±4,505","9,925","±503","30.7%","±1.5","78,932","±3,378","12,784","±713","43.7%","±2.1","89,206","±3,179","3,630","±449","26.5%","±3.1","75,601","±8,560","2,759","±258","36.3%","±3.1","79,625","±8,705","825","±130","34.7%","±5.1","82,708","±10,892","1,318","±252","24.9%","±4.0","72,995","±6,359","393,683","±4,010","39.5%","±0.3","94,437","±878","14,465","±832","26.7%","±1.4","71,233","±2,320","7,086","±436","29.6%","±1.6","72,130","±4,631","91,120","±1,728","36.9%","±0.7","81,831","±1,536","28,908","±1,139","30.2%","±1.0","81,750","±4,009","3,714","±369","31.9%","±3.0","59,515","±5,181","17,953","±941","29.6%","±1.4","77,466","±4,180","18,653","±832","34.3%","±1.4","63,767","±1,947"
"    3 or more earners","162,043","±2,222","9.8%","±0.1","107,690","±1,145","673","±121","4.9%","±0.9","106,042","±14,698","2,096","±291","6.5%","±0.9","103,333","±20,186","3,213","±370","11.0%","±1.3","104,837","±12,425","786","±169","5.7%","±1.3","96,176","±20,418","787","±144","10.3%","±2.0","89,194","±6,999","68","±39","2.9%","±1.6","131,250","±76,499","185","±65","3.5%","±1.2","84,375","±15,795","110,043","±1,882","11.0%","±0.2","111,600","±1,604","3,295","±452","6.1%","±0.8","92,216","±11,046","1,431","±205","6.0%","±0.9","100,114","±14,865","20,873","±835","8.5%","±0.3","100,813","±3,350","9,039","±731","9.4%","±0.7","106,962","±4,011","575","±180","4.9%","±1.6","78,717","±32,550","3,575","±443","5.9%","±0.7","98,597","±8,260","5,404","±470","9.9%","±0.9","73,990","±5,356"
"NONFAMILY HOUSEHOLDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Nonfamily households","876,174","±5,604","876,174","±5,604","36,108","±322","6,636","±356","6,636","±356","15,228","±1,431","16,931","±749","16,931","±749","27,788","±2,138","17,998","±794","17,998","±794","33,289","±2,776","7,993","±504","7,993","±504","24,744","±2,282","3,178","±276","3,178","±276","27,565","±5,352","846","±159","846","±159","36,250","±6,499","3,609","±445","3,609","±445","20,258","±3,057","524,422","±4,262","524,422","±4,262","40,566","±337","31,378","±1,262","31,378","±1,262","26,698","±1,017","10,490","±655","10,490","±655","22,272","±2,004","154,046","±2,215","154,046","±2,215","32,470","±839","41,439","±1,188","41,439","±1,188","30,859","±1,467","3,804","±325","3,804","±325","22,250","±3,671","35,295","±1,257","35,295","±1,257","29,792","±1,611","18,109","±920","18,109","±920","27,985","±1,916"
"        Female householder","449,156","±4,188","51.3%","±0.4","32,582","±497","3,143","±241","47.4%","±2.6","17,165","±1,625","8,541","±440","50.4%","±2.0","25,414","±2,270","8,410","±544","46.7%","±2.1","32,789","±3,386","3,857","±356","48.3%","±3.2","22,823","±3,630","1,820","±204","57.3%","±4.7","24,286","±4,620","280","±82","33.1%","±7.8","19,815","±9,796","1,683","±279","46.6%","±5.3","21,780","±6,216","269,080","±3,390","51.3%","±0.5","36,529","±557","15,158","±744","48.3%","±1.7","24,877","±989","5,392","±408","51.4%","±2.3","21,188","±2,354","79,947","±1,557","51.9%","±0.7","30,618","±829","21,443","±892","51.7%","±1.6","27,774","±1,501","1,956","±229","51.4%","±4.8","16,337","±1,648","19,523","±952","55.3%","±1.7","26,930","±1,468","8,923","±511","49.3%","±2.3","23,343","±1,505"
"            Living alone","366,625","±3,826","41.8%","±0.4","28,689","±471","2,809","±226","42.3%","±2.6","16,168","±1,598","7,471","±416","44.1%","±2.1","21,915","±1,808","5,651","±365","31.4%","±1.9","29,686","±3,007","3,266","±304","40.9%","±3.1","19,662","±1,469","1,510","±192","47.5%","±4.9","21,733","±3,321","266","±84","31.4%","±8.0","19,167","±6,679","1,310","±286","36.3%","±5.9","16,414","±4,979","218,127","±3,010","41.6%","±0.5","31,848","±462","12,457","±673","39.7%","±1.7","22,501","±1,074","4,612","±384","44.0%","±2.4","19,275","±2,794","65,140","±1,308","42.3%","±0.7","26,870","±728","18,288","±828","44.1%","±1.7","25,665","±1,244","1,770","±213","46.5%","±4.6","15,186","±1,559","16,387","±841","46.4%","±1.8","24,332","±1,439","7,561","±457","41.8%","±2.3","21,549","±1,138"
"            Not living alone","82,531","±1,765","9.4%","±0.2","57,161","±1,204","334","±98","5.0%","±1.4","40,625","±14,284","1,070","±214","6.3%","±1.2","50,952","±10,303","2,759","±421","15.3%","±2.1","41,144","±8,139","591","±174","7.4%","±2.0","54,622","±19,517","310","±109","9.8%","±3.3","49,167","±11,249","14","±14","1.7%","±1.6","-","**","373","±149","10.3%","±4.2","31,673","±2,403","50,953","±1,303","9.7%","±0.2","63,896","±1,737","2,701","±348","8.6%","±1.1","46,607","±4,911","780","±148","7.4%","±1.4","34,527","±7,079","14,807","±930","9.6%","±0.6","49,618","±2,693","3,155","±468","7.6%","±1.1","54,688","±9,318","186","±88","4.9%","±2.3","41,667","±10,942","3,136","±433","8.9%","±1.1","50,708","±8,647","1,362","±234","7.5%","±1.2","50,446","±8,156"
"        Male householder","427,018","±4,451","48.7%","±0.4","40,225","±460","3,493","±252","52.6%","±2.6","12,789","±2,360","8,390","±563","49.6%","±2.0","30,594","±4,657","9,588","±562","53.3%","±2.1","34,534","±5,084","4,136","±357","51.7%","±3.2","26,472","±4,924","1,358","±203","42.7%","±4.7","35,473","±9,859","566","±129","66.9%","±7.8","44,524","±20,947","1,926","±310","53.4%","±5.3","19,298","±3,209","255,342","±3,239","48.7%","±0.5","44,700","±715","16,220","±917","51.7%","±1.7","29,076","±2,440","5,098","±407","48.6%","±2.3","23,940","±3,547","74,099","±1,541","48.1%","±0.7","35,340","±1,069","19,996","±884","48.3%","±1.6","35,849","±2,784","1,848","±257","48.6%","±4.8","30,700","±5,727","15,772","±771","44.7%","±1.7","34,330","±2,760","9,186","±721","50.7%","±2.3","34,085","±2,459"
"            Living alone","322,977","±3,910","36.9%","±0.4","33,924","±613","3,175","±243","47.8%","±2.5","11,034","±2,522","7,115","±476","42.0%","±2.0","27,546","±3,039","6,179","±464","34.3%","±2.1","30,419","±3,024","3,501","±330","43.8%","±3.0","23,849","±2,258","1,199","±192","37.7%","±4.8","32,716","±10,535","480","±125","56.7%","±9.0","43,452","±16,908","1,627","±295","45.1%","±5.8","17,254","±3,715","189,143","±2,796","36.1%","±0.4","38,274","±793","12,475","±814","39.8%","±1.8","25,017","±2,257","4,318","±364","41.2%","±2.4","20,850","±2,513","56,560","±1,347","36.7%","±0.7","30,626","±869","16,437","±831","39.7%","±1.5","29,780","±2,705","1,533","±269","40.3%","±5.3","26,635","±2,566","12,310","±672","34.9%","±1.5","29,749","±2,814","6,925","±624","38.2%","±2.3","27,792","±2,609"
"            Not living alone","104,041","±2,246","11.9%","±0.2","64,336","±1,241","318","±95","4.8%","±1.4","37,045","±32,968","1,275","±239","7.5%","±1.3","51,250","±10,663","3,409","±398","18.9%","±2.1","47,840","±9,627","635","±158","7.9%","±1.9","45,764","±12,137","159","±86","5.0%","±2.7","53,188","±16,206","86","±50","10.2%","±5.7","64,545","±49,464","299","±120","8.3%","±3.2","62,946","±25,649","66,199","±1,617","12.6%","±0.3","70,385","±1,840","3,745","±476","11.9%","±1.4","52,605","±6,133","780","±193","7.4%","±1.7","43,400","±10,813","17,539","±916","11.4%","±0.6","54,656","±2,728","3,559","±470","8.6%","±1.1","70,143","±6,081","315","±127","8.3%","±3.4","80,498","±13,823","3,462","±431","9.8%","±1.2","50,137","±6,338","2,261","±339","12.5%","±1.8","64,181","±14,332"
