"Label (Grouping)","Arizona!!Number!!Estimate","Arizona!!Number!!Margin of Error","Arizona!!Percent Distribution!!Estimate","Arizona!!Percent Distribution!!Margin of Error","Arizona!!Median income (dollars)!!Estimate","Arizona!!Median income (dollars)!!Margin of Error","Apache County, Arizona!!Number!!Estimate","Apache County, Arizona!!Number!!Margin of Error","Apache County, Arizona!!Percent Distribution!!Estimate","Apache County, Arizona!!Percent Distribution!!Margin of Error","Apache County, Arizona!!Median income (dollars)!!Estimate","Apache County, Arizona!!Median income (dollars)!!Margin of Error","Cochise County, Arizona!!Number!!Estimate","Cochise County, Arizona!!Number!!Margin of Error","Cochise County, Arizona!!Percent Distribution!!Estimate","Cochise County, Arizona!!Percent Distribution!!Margin of Error","Cochise County, Arizona!!Median income (dollars)!!Estimate","Cochise County, Arizona!!Median income (dollars)!!Margin of Error","Coconino County, Arizona!!Number!!Estimate","Coconino County, Arizona!!Number!!Margin of Error","Coconino County, Arizona!!Percent Distribution!!Estimate","Coconino County, Arizona!!Percent Distribution!!Margin of Error","Coconino County, Arizona!!Median income (dollars)!!Estimate","Coconino County, Arizona!!Median income (dollars)!!Margin of Error","Gila County, Arizona!!Number!!Estimate","Gila County, Arizona!!Number!!Margin of Error","Gila County, Arizona!!Percent Distribution!!Estimate","Gila County, Arizona!!Percent Distribution!!Margin of Error","Gila County, Arizona!!Median income (dollars)!!Estimate","Gila County, Arizona!!Median income (dollars)!!Margin of Error","Graham County, Arizona!!Number!!Estimate","Graham County, Arizona!!Number!!Margin of Error","Graham County, Arizona!!Percent Distribution!!Estimate","Graham County, Arizona!!Percent Distribution!!Margin of Error","Graham County, Arizona!!Median income (dollars)!!Estimate","Graham County, Arizona!!Median income (dollars)!!Margin of Error","Greenlee County, Arizona!!Number!!Estimate","Greenlee County, Arizona!!Number!!Margin of Error","Greenlee County, Arizona!!Percent Distribution!!Estimate","Greenlee County, Arizona!!Percent Distribution!!Margin of Error","Greenlee County, Arizona!!Median income (dollars)!!Estimate","Greenlee County, Arizona!!Median income (dollars)!!Margin of Error","La Paz County, Arizona!!Number!!Estimate","La Paz County, Arizona!!Number!!Margin of Error","La Paz County, Arizona!!Percent Distribution!!Estimate","La Paz County, Arizona!!Percent Distribution!!Margin of Error","La Paz County, Arizona!!Median income (dollars)!!Estimate","La Paz County, Arizona!!Median income (dollars)!!Margin of Error","Maricopa County, Arizona!!Number!!Estimate","Maricopa County, Arizona!!Number!!Margin of Error","Maricopa County, Arizona!!Percent Distribution!!Estimate","Maricopa County, Arizona!!Percent Distribution!!Margin of Error","Maricopa County, Arizona!!Median income (dollars)!!Estimate","Maricopa County, Arizona!!Median income (dollars)!!Margin of Error","Mohave County, Arizona!!Number!!Estimate","Mohave County, Arizona!!Number!!Margin of Error","Mohave County, Arizona!!Percent Distribution!!Estimate","Mohave County, Arizona!!Percent Distribution!!Margin of Error","Mohave County, Arizona!!Median income (dollars)!!Estimate","Mohave County, Arizona!!Median income (dollars)!!Margin of Error","Navajo County, Arizona!!Number!!Estimate","Navajo County, Arizona!!Number!!Margin of Error","Navajo County, Arizona!!Percent Distribution!!Estimate","Navajo County, Arizona!!Percent Distribution!!Margin of Error","Navajo County, Arizona!!Median income (dollars)!!Estimate","Navajo County, Arizona!!Median income (dollars)!!Margin of Error","Pima County, Arizona!!Number!!Estimate","Pima County, Arizona!!Number!!Margin of Error","Pima County, Arizona!!Percent Distribution!!Estimate","Pima County, Arizona!!Percent Distribution!!Margin of Error","Pima County, Arizona!!Median income (dollars)!!Estimate","Pima County, Arizona!!Median income (dollars)!!Margin of Error","Pinal County, Arizona!!Number!!Estimate","Pinal County, Arizona!!Number!!Margin of Error","Pinal County, Arizona!!Percent Distribution!!Estimate","Pinal County, Arizona!!Percent Distribution!!Margin of Error","Pinal County, Arizona!!Median income (dollars)!!Estimate","Pinal County, Arizona!!Median income (dollars)!!Margin of Error","Santa Cruz County, Arizona!!Number!!Estimate","Santa Cruz County, Arizona!!Number!!Margin of Error","Santa Cruz County, Arizona!!Percent Distribution!!Estimate","Santa Cruz County, Arizona!!Percent Distribution!!Margin of Error","Santa Cruz County, Arizona!!Median income (dollars)!!Estimate","Santa Cruz County, Arizona!!Median income (dollars)!!Margin of Error","Yavapai County, Arizona!!Number!!Estimate","Yavapai County, Arizona!!Number!!Margin of Error","Yavapai County, Arizona!!Percent Distribution!!Estimate","Yavapai County, Arizona!!Percent Distribution!!Margin of Error","Yavapai County, Arizona!!Median income (dollars)!!Estimate","Yavapai County, Arizona!!Median income (dollars)!!Margin of Error","Yuma County, Arizona!!Number!!Estimate","Yuma County, Arizona!!Number!!Margin of Error","Yuma County, Arizona!!Percent Distribution!!Estimate","Yuma County, Arizona!!Percent Distribution!!Margin of Error","Yuma County, Arizona!!Median income (dollars)!!Estimate","Yuma County, Arizona!!Median income (dollars)!!Margin of Error"
"            With own children under 18 years","168,795","±3,277","9.8%","±0.2","32,594","±666","1,936","±249","13.4%","±1.6","21,952","±4,560","2,876","±392","9.1%","±1.2","26,405","±4,779","2,580","±361","8.9%","±1.2","32,540","±3,749","1,165","±223","8.3%","±1.4","23,080","±7,830","881","±187","10.9%","±2.2","19,102","±6,949","135","±85","5.7%","±3.6","63,464","±49,186","564","±176","9.3%","±2.7","17,324","±8,520","105,941","±2,864","10.1%","±0.3","35,553","±947","4,137","±544","7.3%","±0.9","30,429","±2,638","3,222","±379","12.6%","±1.4","20,043","±3,384","26,259","±1,123","10.5%","±0.4","30,102","±1,777","8,488","±947","8.0%","±0.8","31,775","±3,924","1,093","±236","9.3%","±2.1","29,623","±5,065","3,228","±527","5.2%","±0.8","29,394","±4,325","6,290","±612","11.6%","±1.1","22,280","±2,329"
"        Male householder, no spouse present","144,505","±3,409","8.4%","±0.2","52,564","±903","1,404","±157","9.8%","±1.1","31,214","±6,186","2,351","±360","7.4%","±1.1","39,044","±9,318","2,691","±405","9.2%","±1.3","51,550","±6,877","1,083","±245","7.7%","±1.6","35,568","±7,130","758","±204","9.4%","±2.4","55,543","±11,242","382","±124","16.1%","±4.8","64,464","±15,461","666","±237","11.0%","±3.7","46,348","±1,096","89,346","±2,786","8.5%","±0.3","56,998","±1,751","5,078","±661","9.0%","±1.1","42,869","±4,048","1,958","±235","7.7%","±0.9","34,098","±3,586","22,419","±1,358","8.9%","±0.5","45,195","±3,348","7,430","±756","7.0%","±0.7","55,542","±3,639","1,097","±291","9.3%","±2.3","30,903","±2,639","3,769","±706","6.1%","±1.1","46,753","±9,317","4,073","±552","7.5%","±1.0","46,702","±10,248"
"            With own children under 18 years","69,783","±2,223","4.1%","±0.1","44,996","±1,448","516","±115","3.6%","±0.8","28,298","±4,504","1,282","±271","4.0%","±0.8","32,500","±10,027","1,222","±340","4.2%","±1.1","45,521","±19,165","474","±162","3.4%","±1.1","33,676","±10,140","335","±137","4.2%","±1.6","26,339","±26,057","240","±100","10.1%","±3.9","65,764","±12,148","426","±202","7.0%","±3.2","46,025","±1,621","43,546","±1,909","4.2%","±0.2","49,858","±2,147","2,393","±497","4.2%","±0.9","34,219","±6,036","709","±157","2.8%","±0.6","29,801","±3,264","10,859","±950","4.3%","±0.4","40,251","±2,868","3,487","±563","3.3%","±0.5","50,058","±4,726","608","±266","5.2%","±2.2","24,896","±10,107","1,629","±492","2.6%","±0.8","39,878","±5,900","2,057","±392","3.8%","±0.7","32,842","±3,176"
"FAMILY INCOME BY FAMILY SIZE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    2-person families","833,562","±6,595","48.4%","±0.3","68,072","±559","5,941","±365","41.3%","±2.0","40,789","±3,795","17,069","±770","53.9%","±1.9","63,998","±2,072","14,050","±824","48.3%","±2.2","73,336","±4,814","8,116","±519","57.7%","±2.8","54,836","±5,388","3,197","±318","39.7%","±3.1","55,313","±9,054","1,170","±207","49.2%","±6.8","65,162","±15,245","4,025","±380","66.4%","±4.3","40,846","±6,507","481,078","±5,519","45.9%","±0.4","74,110","±835","35,640","±1,462","63.0%","±1.5","53,692","±1,577","11,803","±617","46.2%","±1.9","49,045","±3,972","127,278","±2,073","50.7%","±0.7","66,128","±1,263","53,540","±1,631","50.5%","±1.3","63,500","±1,908","4,923","±431","41.9%","±3.0","45,391","±8,131","41,097","±1,265","66.2%","±1.4","65,180","±2,192","24,635","±923","45.4%","±1.4","49,253","±2,647"
"    3-person families","337,022","±5,094","19.6%","±0.3","74,423","±1,093","2,715","±241","18.9%","±1.6","39,945","±4,962","6,125","±565","19.3%","±1.7","59,384","±9,043","5,859","±567","20.1%","±1.8","67,613","±2,945","2,426","±388","17.2%","±2.7","49,760","±5,556","1,465","±247","18.2%","±3.0","56,747","±4,021","474","±125","19.9%","±4.8","65,278","±12,464","1,019","±317","16.8%","±4.8","45,897","±1,727","212,651","±4,190","20.3%","±0.4","81,896","±1,426","9,930","±775","17.6%","±1.4","61,140","±4,757","5,087","±458","19.9%","±1.7","44,429","±5,205","49,596","±1,704","19.8%","±0.7","68,066","±2,758","17,298","±1,081","16.3%","±1.0","72,423","±3,836","2,553","±365","21.7%","±2.9","43,750","±13,540","9,343","±811","15.0%","±1.2","66,056","±4,505","10,481","±776","19.3%","±1.4","57,275","±6,407"
"    4-person families","287,723","±4,352","16.7%","±0.2","86,079","±1,307","2,338","±265","16.2%","±1.7","38,672","±7,207","4,516","±465","14.3%","±1.4","64,934","±14,895","4,555","±514","15.6%","±1.8","88,686","±4,871","1,647","±342","11.7%","±2.3","56,932","±19,832","1,419","±243","17.6%","±3.0","67,930","±10,475","397","±125","16.7%","±5.5","83,859","±34,488","452","±150","7.5%","±2.4","67,222","±19,792","184,495","±3,180","17.6%","±0.3","94,330","±2,012","6,022","±602","10.7%","±1.0","73,462","±4,538","3,683","±395","14.4%","±1.5","51,103","±6,080","43,448","±1,555","17.3%","±0.6","79,869","±3,583","16,319","±1,133","15.4%","±1.0","79,300","±5,591","2,147","±332","18.3%","±2.8","52,298","±11,017","6,494","±659","10.5%","±1.0","73,869","±5,632","9,791","±800","18.0%","±1.4","57,031","±3,845"
"    5-person families","149,527","±3,407","8.7%","±0.2","78,251","±2,384","1,442","±172","10.0%","±1.2","39,138","±8,035","2,326","±359","7.3%","±1.1","77,564","±8,886","2,378","±366","8.2%","±1.2","73,403","±11,330","1,071","±277","7.6%","±1.9","75,795","±21,835","921","±186","11.4%","±2.2","68,080","±16,070","210","±84","8.8%","±3.6","79,667","±41,107","336","±142","5.5%","±2.4","52,396","±34,123","96,623","±2,961","9.2%","±0.3","83,547","±2,423","2,604","±406","4.6%","±0.7","61,652","±11,225","2,292","±298","9.0%","±1.1","59,688","±13,716","18,375","±1,218","7.3%","±0.5","71,771","±4,571","10,240","±846","9.7%","±0.8","76,467","±9,185","1,426","±385","12.1%","±3.2","52,674","±4,833","3,446","±502","5.5%","±0.8","82,895","±17,870","5,837","±627","10.7%","±1.1","63,685","±10,927"
"    6-person families","66,169","±2,098","3.8%","±0.1","75,776","±2,923","923","±143","6.4%","±0.9","46,116","±8,044","1,182","±196","3.7%","±0.6","67,563","±20,284","990","±223","3.4%","±0.8","77,798","±12,989","413","±151","2.9%","±1.0","43,443","±9,375","686","±188","8.5%","±2.3","89,786","±11,741","79","±51","3.3%","±2.1","71,917","±26,895","76","±43","1.3%","±0.7","-","**","42,729","±1,831","4.1%","±0.2","79,059","±5,736","1,189","±283","2.1%","±0.5","66,382","±17,931","1,542","±286","6.0%","±1.1","70,976","±9,921","7,408","±743","3.0%","±0.3","74,793","±6,791","4,629","±595","4.4%","±0.6","77,618","±9,735","524","±232","4.5%","±2.0","73,043","±39,010","1,223","±283","2.0%","±0.4","82,792","±13,491","2,576","±453","4.7%","±0.8","61,900","±9,349"
"    7-or-more person families","46,733","±2,026","2.7%","±0.1","80,264","±4,430","1,036","±158","7.2%","±1.1","53,750","±13,501","439","±117","1.4%","±0.4","49,375","±17,320","1,276","±233","4.4%","±0.8","81,587","±23,942","399","±129","2.8%","±0.9","48,365","±18,695","370","±113","4.6%","±1.4","57,500","±25,989","49","±40","2.1%","±1.7","-","**","158","±71","2.6%","±1.2","54,167","±39,293","30,323","±2,004","2.9%","±0.2","84,167","±5,830","1,145","±255","2.0%","±0.5","69,531","±32,987","1,141","±179","4.5%","±0.7","55,425","±8,931","4,740","±513","1.9%","±0.2","74,123","±6,366","3,960","±593","3.7%","±0.6","85,536","±12,725","189","±82","1.6%","±0.7","64,297","±17,457","516","±128","0.8%","±0.2","83,188","±26,625","992","±268","1.8%","±0.5","66,316","±10,599"
"FAMILY INCOME BY NUMBER OF EARNERS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    No earners","326,252","±3,694","19.0%","±0.2","47,439","±804","4,816","±347","33.5%","±2.0","18,638","±1,419","7,309","±403","23.1%","±1.2","48,391","±3,610","4,670","±359","16.0%","±1.2","51,667","±9,177","4,675","±402","33.2%","±2.5","39,489","±5,847","1,725","±212","21.4%","±2.4","32,066","±13,378","438","±81","18.4%","±3.3","34,881","±19,532","2,661","±377","43.9%","±5.1","31,524","±11,065","159,233","±2,658","15.2%","±0.2","49,899","±1,200","20,346","±1,142","36.0%","±1.6","43,912","±2,145","7,206","±500","28.2%","±1.7","31,225","±3,437","51,716","±1,545","20.6%","±0.6","50,688","±1,923","27,721","±1,129","26.2%","±0.9","48,414","±1,814","1,984","±299","16.9%","±2.5","29,832","±7,588","19,597","±983","31.5%","±1.5","51,651","±2,962","12,155","±602","22.4%","±1.1","36,191","±2,852"
"    1 earner","567,406","±6,259","33.0%","±0.3","54,022","±529","5,698","±388","39.6%","±2.4","41,288","±2,326","12,692","±728","40.1%","±1.9","53,780","±3,476","8,819","±685","30.3%","±2.0","52,285","±2,838","4,502","±512","32.0%","±3.3","48,611","±6,464","2,645","±347","32.8%","±3.8","49,755","±7,367","1,008","±176","42.4%","±6.9","65,696","±2,819","1,980","±351","32.6%","±4.9","45,378","±4,069","339,754","±4,828","32.4%","±0.4","56,930","±879","17,453","±1,064","30.9%","±1.7","49,380","±2,742","9,452","±670","37.0%","±2.4","41,142","±3,975","85,845","±1,983","34.2%","±0.7","50,736","±1,317","35,282","±1,568","33.3%","±1.2","56,404","±2,225","4,998","±531","42.5%","±4.1","36,910","±4,383","19,201","±1,231","30.9%","±1.7","58,329","±2,805","18,077","±979","33.3%","±1.6","38,480","±2,376"
"    2 earners","644,362","±6,947","37.4%","±0.4","94,172","±836","3,086","±297","21.4%","±1.9","81,165","±4,157","9,727","±600","30.7%","±1.8","86,809","±3,587","12,200","±768","41.9%","±2.2","89,640","±3,775","3,966","±474","28.2%","±3.0","84,897","±4,093","3,067","±332","38.1%","±3.7","82,083","±14,136","802","±203","33.7%","±7.2","79,000","±20,571","1,211","±240","20.0%","±3.8","73,792","±13,956","423,319","±5,133","40.4%","±0.4","99,753","±1,150","15,277","±887","27.0%","±1.4","80,937","±3,891","7,193","±641","28.2%","±2.3","74,772","±5,342","90,437","±2,312","36.1%","±0.8","89,895","±1,942","32,297","±1,240","30.5%","±1.2","93,722","±2,671","3,924","±489","33.4%","±3.6","66,809","±9,653","19,526","±1,155","31.4%","±1.6","81,908","±4,175","18,330","±963","33.7%","±1.5","72,616","±3,598"
"    3 or more earners","182,716","±3,855","10.6%","±0.2","114,663","±2,025","795","±137","5.5%","±1.0","103,015","±8,473","1,929","±284","6.1%","±0.9","103,219","±8,456","3,419","±413","11.7%","±1.4","107,670","±18,856","929","±240","6.6%","±1.7","95,529","±21,392","621","±116","7.7%","±1.4","79,177","±10,865","131","±85","5.5%","±3.6","118,750","±39,852","214","±89","3.5%","±1.4","113,036","±38,077","125,593","±3,657","12.0%","±0.3","118,530","±1,914","3,454","±392","6.1%","±0.7","105,942","±14,816","1,697","±284","6.6%","±1.1","110,052","±10,579","22,847","±1,069","9.1%","±0.4","109,090","±3,546","10,686","±885","10.1%","±0.8","116,421","±7,860","856","±209","7.3%","±1.8","84,688","±17,825","3,795","±473","6.1%","±0.8","106,720","±4,882","5,750","±684","10.6%","±1.3","93,286","±7,648"
"NONFAMILY HOUSEHOLDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Nonfamily households","922,694","±7,415","922,694","±7,415","39,829","±429","7,110","±403","7,110","±403","15,746","±1,979","19,260","±929","19,260","±929","31,618","±2,771","19,908","±1,080","19,908","±1,080","36,362","±2,170","8,451","±617","8,451","±617","29,964","±2,977","3,290","±357","3,290","±357","32,248","±5,741","916","±187","916","±187","60,139","±34,612","3,862","±487","3,862","±487","17,195","±5,244","548,885","±5,484","548,885","±5,484","44,511","±501","33,883","±1,807","33,883","±1,807","29,723","±1,603","10,858","±742","10,858","±742","26,545","±1,917","160,097","±2,604","160,097","±2,604","35,894","±750","42,449","±1,822","42,449","±1,822","34,775","±1,726","4,287","±526","4,287","±526","23,194","±3,606","39,126","±1,492","39,126","±1,492","32,665","±2,233","20,312","±937","20,312","±937","28,059","±2,310"
"        Female householder","478,256","±5,496","51.8%","±0.3","36,507","±458","3,054","±281","43.0%","±2.9","17,768","±2,141","10,024","±660","52.0%","±2.4","28,783","±4,364","9,398","±734","47.2%","±2.3","32,727","±5,047","4,015","±395","47.5%","±2.9","28,917","±3,439","1,808","±233","55.0%","±5.2","29,329","±5,800","263","±77","28.7%","±8.1","19,341","±1,992","1,744","±316","45.2%","±7.0","17,130","±6,868","284,713","±4,172","51.9%","±0.5","40,789","±639","17,472","±1,241","51.6%","±2.3","28,343","±2,422","5,034","±452","46.4%","±2.9","25,747","±2,663","84,010","±1,942","52.5%","±0.9","33,953","±1,261","22,430","±1,276","52.8%","±2.0","31,012","±2,065","2,141","±293","49.9%","±5.3","17,488","±7,124","21,794","±1,200","55.7%","±2.1","30,805","±1,978","10,356","±640","51.0%","±2.7","23,526","±2,003"
"            Living alone","391,362","±5,012","42.4%","±0.4","31,772","±425","2,790","±280","39.2%","±3.1","16,608","±2,084","8,906","±618","46.2%","±2.5","25,999","±3,154","6,387","±599","32.1%","±2.5","27,788","±3,499","3,522","±372","41.7%","±3.0","27,051","±3,521","1,442","±197","43.8%","±5.3","27,927","±5,496","234","±71","25.5%","±7.2","18,851","±1,365","1,624","±313","42.1%","±7.0","16,543","±5,085","231,203","±3,951","42.1%","±0.6","35,601","±714","14,451","±1,093","42.6%","±2.1","25,522","±1,481","4,374","±446","40.3%","±2.8","23,553","±3,376","68,569","±1,798","42.8%","±0.9","29,649","±1,408","18,603","±1,132","43.8%","±2.0","28,233","±1,541","1,973","±292","46.0%","±5.3","15,388","±4,570","18,438","±1,089","47.1%","±2.1","26,761","±1,454","8,846","±605","43.6%","±2.6","21,490","±2,120"
"            Not living alone","86,894","±2,263","9.4%","±0.2","63,480","±1,693","264","±90","3.7%","±1.2","52,900","±15,623","1,118","±215","5.8%","±1.1","53,071","±9,537","3,011","±493","15.1%","±2.2","43,834","±6,557","493","±189","5.8%","±2.2","42,813","±41,030","366","±126","11.1%","±3.5","34,808","±28,416","29","±30","3.2%","±3.4","95,852","±58,664","120","±47","3.1%","±1.2","42,368","±13,842","53,510","±1,475","9.7%","±0.3","72,662","±2,104","3,021","±534","8.9%","±1.5","54,049","±7,325","660","±134","6.1%","±1.3","45,524","±9,677","15,441","±1,196","9.6%","±0.7","55,930","±2,788","3,827","±601","9.0%","±1.3","62,221","±10,980","168","±78","3.9%","±1.9","49,318","±32,063","3,356","±498","8.6%","±1.2","51,522","±6,176","1,510","±273","7.4%","±1.3","52,598","±7,484"
"        Male householder","444,438","±4,199","48.2%","±0.3","43,537","±680","4,056","±299","57.0%","±2.9","13,253","±3,596","9,236","±661","48.0%","±2.4","35,056","±4,067","10,510","±688","52.8%","±2.3","38,184","±3,500","4,436","±395","52.5%","±2.9","31,593","±4,132","1,482","±257","45.0%","±5.2","39,757","±6,626","653","±170","71.3%","±8.1","68,408","±3,248","2,118","±412","54.8%","±7.0","17,442","±7,404","264,172","±3,877","48.1%","±0.5","49,385","±861","16,411","±1,122","48.4%","±2.3","31,425","±2,929","5,824","±519","53.6%","±2.9","27,714","±3,456","76,087","±1,923","47.5%","±0.9","38,085","±1,098","20,019","±1,198","47.2%","±2.0","40,856","±3,107","2,146","±395","50.1%","±5.3","26,181","±1,186","17,332","±1,025","44.3%","±2.1","35,820","±3,319","9,956","±794","49.0%","±2.7","36,636","±4,597"
"            Living alone","334,843","±4,190","36.3%","±0.4","36,905","±778","3,888","±301","54.7%","±3.0","12,587","±3,449","7,840","±613","40.7%","±2.5","29,538","±7,142","6,815","±619","34.2%","±2.4","32,952","±3,611","3,514","±372","41.6%","±3.2","25,913","±3,780","1,139","±216","34.6%","±5.5","31,438","±12,338","546","±170","59.6%","±10.0","68,471","±3,217","1,827","±393","47.3%","±7.2","14,730","±4,908","194,007","±3,451","35.3%","±0.5","41,657","±828","13,215","±1,068","39.0%","±2.2","27,913","±2,600","4,745","±467","43.7%","±2.9","23,969","±4,574","58,788","±1,856","36.7%","±0.9","33,267","±1,573","15,375","±1,063","36.2%","±2.0","32,914","±3,394","1,885","±402","44.0%","±5.8","25,534","±2,115","13,785","±850","35.2%","±1.8","30,552","±3,490","7,474","±706","36.8%","±2.8","28,038","±3,374"
"            Not living alone","109,595","±3,115","11.9%","±0.3","69,476","±2,007","168","±63","2.4%","±0.9","35,096","±18,865","1,396","±290","7.2%","±1.4","53,026","±14,699","3,695","±487","18.6%","±2.4","52,051","±6,540","922","±227","10.9%","±2.6","65,363","±17,028","343","±142","10.4%","±3.8","65,625","±27,993","107","±60","11.7%","±6.5","-","**","291","±122","7.5%","±3.1","34,327","±30,133","70,165","±2,432","12.8%","±0.4","77,972","±2,651","3,196","±406","9.4%","±1.2","49,114","±6,374","1,079","±313","9.9%","±2.8","39,428","±7,202","17,299","±1,081","10.8%","±0.7","58,502","±3,247","4,644","±659","10.9%","±1.5","75,234","±9,617","261","±101","6.1%","±2.5","82,580","±39,421","3,547","±557","9.1%","±1.4","53,497","±7,268","2,482","±477","12.2%","±2.2","66,813","±26,852"
