"Label (Grouping)","Arizona!!Total!!Estimate","Arizona!!Total!!Margin of Error","Arizona!!Median income (dollars)!!Estimate","Arizona!!Median income (dollars)!!Margin of Error","Apache County, Arizona!!Total!!Estimate","Apache County, Arizona!!Total!!Margin of Error","Apache County, Arizona!!Median income (dollars)!!Estimate","Apache County, Arizona!!Median income (dollars)!!Margin of Error","Cochise County, Arizona!!Total!!Estimate","Cochise County, Arizona!!Total!!Margin of Error","Cochise County, Arizona!!Median income (dollars)!!Estimate","Cochise County, Arizona!!Median income (dollars)!!Margin of Error","Coconino County, Arizona!!Total!!Estimate","Coconino County, Arizona!!Total!!Margin of Error","Coconino County, Arizona!!Median income (dollars)!!Estimate","Coconino County, Arizona!!Median income (dollars)!!Margin of Error","Gila County, Arizona!!Total!!Estimate","Gila County, Arizona!!Total!!Margin of Error","Gila County, Arizona!!Median income (dollars)!!Estimate","Gila County, Arizona!!Median income (dollars)!!Margin of Error","Graham County, Arizona!!Total!!Estimate","Graham County, Arizona!!Total!!Margin of Error","Graham County, Arizona!!Median income (dollars)!!Estimate","Graham County, Arizona!!Median income (dollars)!!Margin of Error","Greenlee County, Arizona!!Total!!Estimate","Greenlee County, Arizona!!Total!!Margin of Error","Greenlee County, Arizona!!Median income (dollars)!!Estimate","Greenlee County, Arizona!!Median income (dollars)!!Margin of Error","La Paz County, Arizona!!Total!!Estimate","La Paz County, Arizona!!Total!!Margin of Error","La Paz County, Arizona!!Median income (dollars)!!Estimate","La Paz County, Arizona!!Median income (dollars)!!Margin of Error","Maricopa County, Arizona!!Total!!Estimate","Maricopa County, Arizona!!Total!!Margin of Error","Maricopa County, Arizona!!Median income (dollars)!!Estimate","Maricopa County, Arizona!!Median income (dollars)!!Margin of Error","Mohave County, Arizona!!Total!!Estimate","Mohave County, Arizona!!Total!!Margin of Error","Mohave County, Arizona!!Median income (dollars)!!Estimate","Mohave County, Arizona!!Median income (dollars)!!Margin of Error","Navajo County, Arizona!!Total!!Estimate","Navajo County, Arizona!!Total!!Margin of Error","Navajo County, Arizona!!Median income (dollars)!!Estimate","Navajo County, Arizona!!Median income (dollars)!!Margin of Error","Pima County, Arizona!!Total!!Estimate","Pima County, Arizona!!Total!!Margin of Error","Pima County, Arizona!!Median income (dollars)!!Estimate","Pima County, Arizona!!Median income (dollars)!!Margin of Error","Pinal County, Arizona!!Total!!Estimate","Pinal County, Arizona!!Total!!Margin of Error","Pinal County, Arizona!!Median income (dollars)!!Estimate","Pinal County, Arizona!!Median income (dollars)!!Margin of Error","Santa Cruz County, Arizona!!Total!!Estimate","Santa Cruz County, Arizona!!Total!!Margin of Error","Santa Cruz County, Arizona!!Median income (dollars)!!Estimate","Santa Cruz County, Arizona!!Median income (dollars)!!Margin of Error","Yavapai County, Arizona!!Total!!Estimate","Yavapai County, Arizona!!Total!!Margin of Error","Yavapai County, Arizona!!Median income (dollars)!!Estimate","Yavapai County, Arizona!!Median income (dollars)!!Margin of Error","Yuma County, Arizona!!Total!!Estimate","Yuma County, Arizona!!Total!!Margin of Error","Yuma County, Arizona!!Median income (dollars)!!Estimate","Yuma County, Arizona!!Median income (dollars)!!Margin of Error"
"        With no own children under 18 years","54.6%","±0.3","62,969","±393","60.7%","±2.1","38,091","±3,707","59.0%","±1.6","55,419","±2,765","56.4%","±1.9","62,231","±2,567","70.1%","±2.6","48,462","±2,122","52.9%","±2.4","46,804","±4,901","51.3%","±5.0","51,890","±5,552","66.1%","±4.0","40,800","±4,022","51.6%","±0.3","69,617","±518","68.1%","±1.3","48,632","±926","57.3%","±1.8","49,332","±3,075","57.7%","±0.6","61,675","±1,004","56.4%","±1.1","58,165","±1,873","53.1%","±3.3","44,121","±5,361","68.5%","±1.2","55,467","±1,742","50.5%","±1.2","46,612","±1,572"
"    Married-couple families","74.6%","±0.3","70,143","±301","62.1%","±2.6","46,402","±3,586","77.5%","±1.6","61,233","±1,827","70.9%","±2.0","72,716","±3,785","77.3%","±2.9","51,001","±2,347","67.3%","±3.2","56,975","±3,274","67.4%","±6.8","59,702","±7,997","74.1%","±4.5","44,051","±5,136","74.5%","±0.4","76,667","±375","78.3%","±1.3","52,085","±1,203","68.6%","±2.1","56,444","±3,139","73.3%","±0.6","69,042","±1,289","77.6%","±1.0","62,822","±1,084","73.0%","±3.4","49,653","±4,052","80.7%","±1.1","59,726","±1,830","73.6%","±1.4","49,955","±1,447"
"    Female householder, no husband present","17.8%","±0.2","31,698","±430","30.5%","±2.4","25,289","±3,581","15.7%","±1.4","27,630","±4,370","20.6%","±1.8","32,119","±2,792","16.3%","±2.3","24,301","±3,029","23.9%","±2.4","20,841","±2,377","16.9%","±4.6","34,102","±9,736","17.5%","±3.2","23,071","±4,721","17.5%","±0.4","35,289","±624","14.6%","±1.3","23,872","±3,119","23.4%","±1.8","25,436","±1,741","19.5%","±0.5","29,357","±1,085","15.1%","±0.7","31,364","±1,781","20.7%","±2.9","20,035","±2,879","13.7%","±1.0","30,142","±2,432","18.9%","±1.1","22,338","±1,500"
"    Male householder, no wife present","7.6%","±0.2","42,558","±759","7.5%","±1.4","24,706","±8,875","6.7%","±1.0","38,867","±5,440","8.4%","±1.1","40,267","±3,525","6.4%","±1.5","47,696","±8,374","8.8%","±2.1","50,804","±11,375","15.8%","±5.1","51,439","±2,440","8.4%","±3.2","24,971","±4,819","8.0%","±0.2","46,197","±1,540","7.1%","±0.8","41,045","±2,818","8.0%","±1.0","27,117","±5,605","7.2%","±0.4","37,824","±1,862","7.3%","±0.8","40,116","±3,205","6.3%","±2.0","32,313","±21,978","5.5%","±0.8","40,786","±3,693","7.5%","±0.9","34,897","±6,074"
"NONFAMILY HOUSEHOLDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Nonfamily households","784,163","±5,236","33,003","±325","5,600","±451","13,583","±1,199","15,390","±661","27,445","±2,183","15,730","±724","30,945","±1,398","6,863","±485","22,692","±2,390","2,681","±323","22,522","±3,210","974","±149","35,143","±13,030","3,689","±486","20,390","±2,701","468,204","±4,150","36,861","±356","26,954","±1,114","25,714","±1,125","9,361","±695","22,516","±2,474","144,500","±2,116","29,616","±663","32,561","±1,283","33,645","±2,007","2,775","±321","23,521","±6,411","32,788","±1,203","27,644","±1,207","16,093","±1,032","26,614","±1,467"
"    Female householder","51.3%","±0.3","29,624","±383","49.6%","±3.5","13,593","±1,500","49.2%","±2.4","25,000","±2,516","48.6%","±2.3","25,991","±1,989","51.3%","±4.0","19,868","±2,426","51.0%","±4.9","19,049","±4,224","40.8%","±6.6","17,401","±5,766","41.7%","±5.9","19,178","±3,314","51.4%","±0.4","32,805","±452","48.5%","±1.9","21,999","±1,393","48.6%","±3.2","17,694","±2,481","52.5%","±0.7","26,531","±689","50.1%","±2.3","27,519","±2,332","52.0%","±6.0","17,478","±4,409","54.7%","±1.7","26,461","±1,163","49.5%","±2.8","21,990","±2,273"
"        Living alone","42.5%","±0.4","26,221","±304","43.4%","±3.3","12,505","±1,313","43.1%","±2.3","22,510","±2,319","35.2%","±2.4","22,587","±2,445","44.2%","±3.8","18,331","±2,487","44.9%","±5.1","17,601","±4,065","34.0%","±6.0","15,757","±2,453","34.2%","±5.2","15,606","±4,289","42.1%","±0.4","29,307","±408","39.9%","±2.2","19,186","±1,313","43.0%","±2.9","17,170","±1,994","44.0%","±0.8","24,172","±783","41.5%","±2.0","24,033","±1,814","48.5%","±5.6","16,413","±2,927","46.9%","±2.0","23,790","±2,428","42.5%","±2.7","19,656","±1,866"
"        Not living alone","8.9%","±0.2","52,640","±1,326","6.3%","±2.3","33,009","±4,781","6.1%","±1.3","38,958","±7,552","13.4%","±2.1","37,856","±7,916","7.1%","±2.0","36,613","±15,834","6.1%","±3.2","49,432","±19,316","6.8%","±4.6","61,250","±50,637","7.6%","±3.6","33,125","±27,115","9.2%","±0.3","58,925","±1,735","8.6%","±1.4","38,995","±4,108","5.6%","±1.6","26,917","±20,115","8.5%","±0.5","44,444","±2,603","8.6%","±1.3","54,060","±6,766","3.5%","±2.2","76,429","±45,576","7.8%","±1.2","48,978","±4,338","7.0%","±1.4","45,793","±11,024"
"    Male householder","48.7%","±0.3","37,407","±423","50.4%","±3.5","13,571","±2,023","50.8%","±2.4","31,600","±2,700","51.4%","±2.3","35,486","±3,409","48.7%","±4.0","27,957","±3,364","49.0%","±4.9","25,165","±5,984","59.2%","±6.6","46,477","±9,121","58.3%","±5.9","21,508","±4,627","48.6%","±0.4","41,723","±586","51.5%","±1.9","29,907","±1,689","51.4%","±3.2","28,743","±4,307","47.5%","±0.7","32,610","±912","49.9%","±2.3","39,026","±2,579","48.0%","±6.0","29,470","±5,158","45.3%","±1.7","30,291","±1,916","50.5%","±2.8","32,914","±3,039"
